Order_id,Quantity,Year,Month,Weekdays,Order_Time, Cost_Price , Total_Sales ,Pizza_Size,Pizza_Category,Pizza_Name
41,1,2015,Jan,Thu,13:34:00, 12.00 , 12.00 ,S,Classic,The Napolitana Pizza
42,1,2015,Jan,Thu,13:34:00, 20.75 , 20.75 ,L,Chicken,The Thai Chicken Pizza
43,1,2015,Jan,Thu,13:53:00, 20.75 , 20.75 ,L,Chicken,The Barbecue Chicken Pizza
44,1,2015,Jan,Thu,13:53:00, 16.25 , 16.25 ,M,Supreme,The Calabrese Pizza
45,1,2015,Jan,Thu,13:53:00, 18.50 , 18.50 ,L,Veggie,The Five Cheese Pizza
46,1,2015,Jan,Thu,13:53:00, 14.75 , 14.75 ,M,Veggie,The Four Cheese Pizza
47,1,2015,Jan,Thu,13:53:00, 16.50 , 16.50 ,M,Supreme,The Italian Supreme Pizza
48,1,2015,Jan,Thu,13:53:00, 12.75 , 12.75 ,S,Veggie,The Italian Vegetables Pizza
49,2,2015,Jan,Thu,13:53:00, 16.00 , 32.00 ,M,Veggie,The Mediterranean Pizza
50,1,2015,Jan,Thu,13:53:00, 20.25 , 20.25 ,L,Veggie,The Mexicana Pizza
51,1,2015,Jan,Thu,13:53:00, 12.50 , 12.50 ,S,Supreme,The Pepper Salami Pizza
52,1,2015,Jan,Thu,13:53:00, 20.25 , 20.25 ,L,Veggie,The Spinach and Feta Pizza
53,1,2015,Jan,Thu,13:57:00, 20.50 , 20.50 ,L,Classic,The Napolitana Pizza
54,1,2015,Jan,Thu,13:59:00, 20.50 , 20.50 ,L,Classic,The Italian Capocollo Pizza
55,1,2015,Jan,Thu,13:59:00, 20.25 , 20.25 ,L,Supreme,The Sicilian Pizza
56,1,2015,Jan,Thu,14:03:00, 12.00 , 12.00 ,S,Classic,The Big Meat Pizza
57,1,2015,Jan,Thu,14:03:00, 18.50 , 18.50 ,L,Veggie,The Five Cheese Pizza
58,1,2015,Jan,Thu,14:14:00, 20.50 , 20.50 ,L,Classic,The Italian Capocollo Pizza
59,1,2015,Jan,Thu,14:16:00, 18.50 , 18.50 ,L,Veggie,The Five Cheese Pizza
60,1,2015,Jan,Thu,14:16:00, 16.00 , 16.00 ,M,Classic,The Italian Capocollo Pizza
61,1,2015,Jan,Thu,14:16:00, 20.75 , 20.75 ,L,Chicken,The Southwest Chicken Pizza
62,1,2015,Jan,Thu,14:19:00, 12.75 , 12.75 ,S,Chicken,The Southwest Chicken Pizza
63,1,2015,Jan,Thu,14:23:00, 16.75 , 16.75 ,M,Chicken,The Barbecue Chicken Pizza
64,1,2015,Jan,Thu,14:23:00, 16.00 , 16.00 ,M,Classic,The Italian Capocollo Pizza
65,1,2015,Jan,Thu,14:23:00, 12.50 , 12.50 ,M,Classic,The Pepperoni Pizza
66,1,2015,Jan,Thu,14:23:00, 12.50 , 12.50 ,S,Supreme,The Prosciutto and Arugula Pizza
67,1,2015,Jan,Thu,14:44:00, 16.25 , 16.25 ,M,Supreme,The Sicilian Pizza
68,1,2015,Jan,Thu,14:44:00, 20.75 , 20.75 ,L,Chicken,The Thai Chicken Pizza
69,1,2015,Jan,Thu,14:54:00, 12.00 , 12.00 ,S,Classic,The Classic Deluxe Pizza
70,1,2015,Jan,Thu,14:54:00, 20.25 , 20.25 ,L,Veggie,The Vegetables + Vegetables Pizza
71,1,2015,Jan,Thu,15:11:00, 20.75 , 20.75 ,L,Chicken,The Barbecue Chicken Pizza
72,1,2015,Jan,Thu,15:11:00, 16.00 , 16.00 ,M,Classic,The Classic Deluxe Pizza
73,1,2015,Jan,Thu,15:11:00, 20.25 , 20.25 ,L,Veggie,The Spinach and Feta Pizza
74,1,2015,Jan,Thu,15:35:00, 12.75 , 12.75 ,S,Chicken,The Chicken Alfredo Pizza
75,1,2015,Jan,Thu,15:41:00, 12.00 , 12.00 ,S,Veggie,The Green Garden Pizza
76,1,2015,Jan,Thu,15:41:00, 20.75 , 20.75 ,L,Chicken,The Thai Chicken Pizza
77,1,2015,Jan,Thu,15:50:00, 16.00 , 16.00 ,M,Veggie,The Mexicana Pizza
78,1,2015,Jan,Thu,15:50:00, 9.75 , 9.75 ,S,Classic,The Pepperoni Pizza
79,1,2015,Jan,Thu,15:53:00, 12.00 , 12.00 ,S,Classic,The Big Meat Pizza
80,1,2015,Jan,Thu,15:53:00, 20.25 , 20.25 ,L,Veggie,The Green Garden Pizza
81,1,2015,Jan,Thu,15:53:00, 20.50 , 20.50 ,L,Classic,The Italian Capocollo Pizza
82,1,2015,Jan,Thu,15:53:00, 16.50 , 16.50 ,M,Supreme,The Italian Supreme Pizza
83,1,2015,Jan,Thu,15:54:00, 20.75 , 20.75 ,L,Chicken,The Barbecue Chicken Pizza
84,1,2015,Jan,Thu,15:54:00, 12.00 , 12.00 ,S,Veggie,The Green Garden Pizza
85,1,2015,Jan,Thu,16:21:00, 12.00 , 12.00 ,S,Classic,The Greek Pizza
86,1,2015,Jan,Thu,16:32:00, 16.00 , 16.00 ,M,Veggie,The Green Garden Pizza
87,1,2015,Jan,Thu,16:32:00, 17.50 , 17.50 ,L,Classic,"The Pepperoni, Mushroom, and Peppers Pizza"
88,1,2015,Jan,Thu,16:32:00, 12.50 , 12.50 ,M,Classic,The Pepperoni Pizza
89,1,2015,Jan,Thu,16:32:00, 20.75 , 20.75 ,L,Chicken,The Thai Chicken Pizza
90,1,2015,Jan,Thu,16:54:00, 16.75 , 16.75 ,M,Chicken,The Barbecue Chicken Pizza
91,1,2015,Jan,Thu,16:54:00, 16.00 , 16.00 ,M,Classic,The Classic Deluxe Pizza
92,1,2015,Jan,Thu,16:56:00, 20.75 , 20.75 ,L,Supreme,The Italian Supreme Pizza
93,1,2015,Jan,Thu,16:56:00, 20.25 , 20.25 ,L,Veggie,The Mexicana Pizza
94,1,2015,Jan,Thu,17:03:00, 10.50 , 10.50 ,S,Classic,The Hawaiian Pizza
95,1,2015,Jan,Thu,17:03:00, 20.50 , 20.50 ,L,Classic,The Italian Capocollo Pizza
96,1,2015,Jan,Thu,17:07:00, 20.75 , 20.75 ,L,Supreme,The Italian Supreme Pizza
97,1,2015,Jan,Thu,17:14:00, 17.95 , 17.95 ,L,Veggie,The Four Cheese Pizza
98,1,2015,Jan,Thu,17:14:00, 12.75 , 12.75 ,S,Chicken,The Southwest Chicken Pizza
99,1,2015,Jan,Thu,17:15:00, 14.75 , 14.75 ,M,Veggie,The Four Cheese Pizza
100,1,2015,Jan,Thu,17:15:00, 12.00 , 12.00 ,S,Veggie,The Green Garden Pizza
101,1,2015,Jan,Thu,17:28:00, 12.00 , 12.00 ,S,Classic,The Big Meat Pizza
102,1,2015,Jan,Thu,17:28:00, 18.50 , 18.50 ,L,Veggie,The Five Cheese Pizza
103,1,2015,Jan,Thu,17:28:00, 20.25 , 20.25 ,L,Veggie,The Mexicana Pizza
104,1,2015,Jan,Thu,17:28:00, 16.50 , 16.50 ,M,Supreme,The Pepper Salami Pizza
105,1,2015,Jan,Thu,17:38:00, 16.75 , 16.75 ,M,Chicken,The Chicken Alfredo Pizza
106,1,2015,Jan,Thu,17:38:00, 16.50 , 16.50 ,M,Supreme,The Italian Supreme Pizza
107,1,2015,Jan,Thu,17:38:00, 20.75 , 20.75 ,L,Supreme,The Pepper Salami Pizza
108,1,2015,Jan,Thu,17:54:00, 12.50 , 12.50 ,S,Veggie,The Spinach Pesto Pizza
109,1,2015,Jan,Thu,17:55:00, 17.95 , 17.95 ,L,Veggie,The Four Cheese Pizza
110,1,2015,Jan,Thu,17:55:00, 10.50 , 10.50 ,S,Classic,The Hawaiian Pizza
111,1,2015,Jan,Thu,17:55:00, 16.75 , 16.75 ,M,Chicken,The Thai Chicken Pizza
112,1,2015,Jan,Thu,18:25:00, 20.75 , 20.75 ,L,Chicken,The Chicken Pesto Pizza
113,1,2015,Jan,Thu,18:25:00, 20.50 , 20.50 ,L,Classic,The Classic Deluxe Pizza
114,1,2015,Jan,Thu,18:25:00, 16.75 , 16.75 ,M,Chicken,The Thai Chicken Pizza
115,1,2015,Jan,Thu,18:26:00, 20.75 , 20.75 ,L,Chicken,The Southwest Chicken Pizza
116,1,2015,Jan,Thu,18:26:00, 12.00 , 12.00 ,S,Veggie,The Vegetables + Vegetables Pizza
117,1,2015,Jan,Thu,18:26:00, 16.75 , 16.75 ,M,Chicken,The Chicken Pesto Pizza
118,1,2015,Jan,Thu,18:26:00, 12.00 , 12.00 ,S,Veggie,The Green Garden Pizza
119,1,2015,Jan,Thu,18:26:00, 20.75 , 20.75 ,L,Supreme,The Prosciutto and Arugula Pizza
120,1,2015,Jan,Thu,18:26:00, 20.75 , 20.75 ,L,Supreme,The Spicy Italian Pizza
121,1,2015,Jan,Thu,18:33:00, 20.25 , 20.25 ,L,Supreme,The Sicilian Pizza
122,1,2015,Jan,Thu,18:41:00, 25.50 , 25.50 ,XL,Classic,The Greek Pizza
123,1,2015,Jan,Thu,18:48:00, 20.75 , 20.75 ,L,Chicken,The Barbecue Chicken Pizza
124,1,2015,Jan,Thu,18:48:00, 17.50 , 17.50 ,L,Classic,"The Pepperoni, Mushroom, and Peppers Pizza"
125,1,2015,Jan,Thu,18:53:00, 16.50 , 16.50 ,L,Classic,The Hawaiian Pizza
126,1,2015,Jan,Thu,18:53:00, 20.25 , 20.25 ,L,Veggie,The Mexicana Pizza
127,1,2015,Jan,Thu,18:53:00, 20.75 , 20.75 ,L,Supreme,The Spicy Italian Pizza
128,1,2015,Jan,Thu,18:54:00, 11.00 , 11.00 ,S,Classic,"The Pepperoni, Mushroom, and Peppers Pizza"
129,1,2015,Jan,Thu,18:54:00, 16.50 , 16.50 ,M,Supreme,The Spinach Supreme Pizza
130,1,2015,Jan,Thu,19:01:00, 16.50 , 16.50 ,M,Supreme,The Prosciutto and Arugula Pizza
131,1,2015,Jan,Thu,19:01:00, 20.75 , 20.75 ,L,Chicken,The Thai Chicken Pizza
132,1,2015,Jan,Thu,19:03:00, 12.50 , 12.50 ,S,Supreme,The Pepper Salami Pizza
133,1,2015,Jan,Thu,19:03:00, 20.75 , 20.75 ,L,Supreme,The Spicy Italian Pizza
134,1,2015,Jan,Thu,19:07:00, 16.00 , 16.00 ,M,Classic,The Classic Deluxe Pizza
135,1,2015,Jan,Thu,19:07:00, 20.25 , 20.25 ,L,Veggie,The Mediterranean Pizza
136,1,2015,Jan,Thu,19:07:00, 16.75 , 16.75 ,M,Chicken,The Southwest Chicken Pizza
137,1,2015,Jan,Thu,19:10:00, 16.00 , 16.00 ,M,Classic,The Classic Deluxe Pizza
138,1,2015,Jan,Thu,19:30:00, 18.50 , 18.50 ,L,Veggie,The Five Cheese Pizza
139,1,2015,Jan,Thu,19:30:00, 12.50 , 12.50 ,M,Classic,The Pepperoni Pizza
140,1,2015,Jan,Thu,19:40:00, 12.75 , 12.75 ,S,Veggie,The Italian Vegetables Pizza
141,1,2015,Jan,Thu,19:40:00, 11.00 , 11.00 ,S,Classic,"The Pepperoni, Mushroom, and Peppers Pizza"
142,1,2015,Jan,Thu,19:40:00, 15.25 , 15.25 ,L,Classic,The Pepperoni Pizza
143,1,2015,Jan,Thu,20:05:00, 20.75 , 20.75 ,L,Chicken,The Chicken Pesto Pizza
144,1,2015,Jan,Thu,20:05:00, 14.75 , 14.75 ,M,Veggie,The Four Cheese Pizza
145,1,2015,Jan,Thu,20:08:00, 16.75 , 16.75 ,M,Chicken,The Barbecue Chicken Pizza
146,1,2015,Jan,Thu,20:08:00, 20.75 , 20.75 ,L,Supreme,The Italian Supreme Pizza
147,1,2015,Jan,Thu,20:50:00, 16.75 , 16.75 ,M,Chicken,The Barbecue Chicken Pizza
148,1,2015,Jan,Thu,20:50:00, 16.50 , 16.50 ,M,Supreme,The Spinach Supreme Pizza
149,1,2015,Jan,Thu,20:51:00, 14.50 , 14.50 ,M,Classic,"The Pepperoni, Mushroom, and Peppers Pizza"
150,1,2015,Jan,Thu,20:52:00, 12.00 , 12.00 ,S,Classic,The Big Meat Pizza
151,1,2015,Jan,Thu,21:16:00, 11.00 , 11.00 ,S,Classic,"The Pepperoni, Mushroom, and Peppers Pizza"
152,1,2015,Jan,Thu,21:16:00, 12.25 , 12.25 ,S,Supreme,The Sicilian Pizza
153,1,2015,Jan,Thu,21:16:00, 12.50 , 12.50 ,S,Supreme,The Spicy Italian Pizza
154,1,2015,Jan,Thu,21:16:00, 16.50 , 16.50 ,M,Supreme,The Spinach Supreme Pizza
155,1,2015,Jan,Thu,21:47:00, 16.00 , 16.00 ,M,Classic,The Classic Deluxe Pizza
156,1,2015,Jan,Thu,21:47:00, 16.00 , 16.00 ,M,Classic,The Italian Capocollo Pizza
157,1,2015,Jan,Thu,22:03:00, 20.75 , 20.75 ,L,Chicken,The Southwest Chicken Pizza
158,1,2015,Jan,Thu,22:07:00, 16.00 , 16.00 ,M,Classic,The Classic Deluxe Pizza
159,1,2015,Jan,Thu,22:07:00, 20.75 , 20.75 ,L,Supreme,The Italian Supreme Pizza
160,1,2015,Jan,Thu,22:07:00, 16.50 , 16.50 ,M,Supreme,The Italian Supreme Pizza
161,1,2015,Jan,Thu,22:12:00, 20.75 , 20.75 ,L,Chicken,The Barbecue Chicken Pizza
162,1,2015,Jan,Fri,11:38:00, 12.75 , 12.75 ,S,Veggie,The Italian Vegetables Pizza
163,1,2015,Jan,Fri,11:38:00, 20.75 , 20.75 ,L,Supreme,The Soppressata Pizza
164,1,2015,Jan,Fri,11:40:00, 20.75 , 20.75 ,L,Chicken,The Thai Chicken Pizza
165,1,2015,Jan,Fri,11:57:00, 20.25 , 20.25 ,L,Veggie,The Spinach and Feta Pizza
166,1,2015,Jan,Fri,11:58:00, 12.75 , 12.75 ,S,Chicken,The Thai Chicken Pizza
167,1,2015,Jan,Fri,12:01:00, 18.50 , 18.50 ,L,Veggie,The Five Cheese Pizza
168,1,2015,Jan,Fri,12:01:00, 20.25 , 20.25 ,L,Veggie,The Mexicana Pizza
169,1,2015,Jan,Fri,12:01:00, 12.50 , 12.50 ,S,Veggie,The Spinach Pesto Pizza
170,1,2015,Jan,Fri,12:01:00, 20.75 , 20.75 ,L,Supreme,The Spinach Supreme Pizza
171,1,2015,Jan,Fri,12:10:00, 12.50 , 12.50 ,S,Supreme,The Italian Supreme Pizza
172,1,2015,Jan,Fri,12:10:00, 20.25 , 20.25 ,L,Veggie,The Mediterranean Pizza
173,1,2015,Jan,Fri,12:10:00, 20.50 , 20.50 ,L,Classic,The Napolitana Pizza
174,1,2015,Jan,Fri,12:21:00, 12.00 , 12.00 ,S,Classic,The Big Meat Pizza
175,1,2015,Jan,Fri,12:21:00, 16.50 , 16.50 ,L,Classic,The Hawaiian Pizza
176,1,2015,Jan,Fri,12:21:00, 21.00 , 21.00 ,L,Veggie,The Italian Vegetables Pizza
177,1,2015,Jan,Fri,12:21:00, 20.75 , 20.75 ,L,Supreme,The Spicy Italian Pizza
178,1,2015,Jan,Fri,12:22:00, 16.75 , 16.75 ,M,Chicken,The Barbecue Chicken Pizza
179,1,2015,Jan,Fri,12:22:00, 13.25 , 13.25 ,M,Classic,The Hawaiian Pizza
180,1,2015,Jan,Fri,12:28:00, 12.00 , 12.00 ,S,Classic,The Big Meat Pizza
181,1,2015,Jan,Fri,12:28:00, 12.00 , 12.00 ,S,Classic,The Classic Deluxe Pizza
182,1,2015,Jan,Fri,12:28:00, 17.95 , 17.95 ,L,Veggie,The Four Cheese Pizza
183,1,2015,Jan,Fri,12:28:00, 16.00 , 16.00 ,M,Classic,The Italian Capocollo Pizza
184,3,2015,Jan,Fri,12:28:00, 20.75 , 62.25 ,L,Supreme,The Spicy Italian Pizza
185,1,2015,Jan,Fri,12:28:00, 12.75 , 12.75 ,S,Chicken,The Thai Chicken Pizza
186,1,2015,Jan,Fri,12:29:00, 20.50 , 20.50 ,L,Classic,The Italian Capocollo Pizza
187,1,2015,Jan,Fri,12:29:00, 11.00 , 11.00 ,S,Classic,"The Pepperoni, Mushroom, and Peppers Pizza"
188,1,2015,Jan,Fri,12:29:00, 20.75 , 20.75 ,L,Chicken,The Thai Chicken Pizza
189,1,2015,Jan,Fri,12:35:00, 9.75 , 9.75 ,S,Classic,The Pepperoni Pizza
190,1,2015,Jan,Fri,12:35:00, 16.75 , 16.75 ,M,Chicken,The Thai Chicken Pizza
191,1,2015,Jan,Fri,12:40:00, 20.75 , 20.75 ,L,Chicken,The Thai Chicken Pizza
192,1,2015,Jan,Fri,12:45:00, 12.00 , 12.00 ,S,Classic,The Big Meat Pizza
193,1,2015,Jan,Fri,12:45:00, 16.75 , 16.75 ,M,Chicken,The California Chicken Pizza
194,1,2015,Jan,Fri,12:45:00, 20.75 , 20.75 ,L,Supreme,The Spicy Italian Pizza
195,1,2015,Jan,Fri,12:45:00, 16.00 , 16.00 ,M,Veggie,The Vegetables + Vegetables Pizza
196,1,2015,Jan,Fri,12:53:00, 12.75 , 12.75 ,S,Chicken,The Southwest Chicken Pizza
197,1,2015,Jan,Fri,13:13:00, 15.25 , 15.25 ,L,Classic,The Pepperoni Pizza
198,1,2015,Jan,Fri,13:34:00, 16.00 , 16.00 ,M,Classic,The Classic Deluxe Pizza
199,1,2015,Jan,Fri,13:34:00, 12.00 , 12.00 ,S,Classic,The Classic Deluxe Pizza
200,1,2015,Jan,Fri,13:34:00, 20.75 , 20.75 ,L,Supreme,The Italian Supreme Pizza
201,1,2015,Jan,Fri,13:34:00, 16.00 , 16.00 ,M,Classic,The Greek Pizza
202,1,2015,Jan,Fri,13:40:00, 16.50 , 16.50 ,L,Classic,The Hawaiian Pizza
203,1,2015,Jan,Fri,14:01:00, 16.00 , 16.00 ,M,Classic,The Italian Capocollo Pizza
204,1,2015,Jan,Fri,14:01:00, 16.00 , 16.00 ,M,Veggie,The Mexicana Pizza
205,1,2015,Jan,Fri,14:01:00, 20.75 , 20.75 ,L,Supreme,The Spinach Supreme Pizza
206,1,2015,Jan,Fri,14:01:00, 12.50 , 12.50 ,S,Supreme,The Spinach Supreme Pizza
207,1,2015,Jan,Fri,14:10:00, 18.50 , 18.50 ,L,Veggie,The Five Cheese Pizza
208,1,2015,Jan,Fri,14:30:00, 20.75 , 20.75 ,L,Supreme,The Soppressata Pizza
209,1,2015,Jan,Fri,14:30:00, 20.75 , 20.75 ,L,Chicken,The Thai Chicken Pizza
210,1,2015,Jan,Fri,15:08:00, 20.25 , 20.25 ,L,Supreme,The Sicilian Pizza
211,1,2015,Jan,Fri,15:08:00, 12.75 , 12.75 ,S,Chicken,The Thai Chicken Pizza
212,2,2015,Jan,Fri,15:14:00, 20.75 , 41.50 ,L,Chicken,The Barbecue Chicken Pizza
213,1,2015,Jan,Fri,15:14:00, 12.75 , 12.75 ,S,Chicken,The Chicken Pesto Pizza
214,1,2015,Jan,Fri,15:14:00, 9.75 , 9.75 ,S,Classic,The Pepperoni Pizza
215,1,2015,Jan,Fri,15:17:00, 16.75 , 16.75 ,M,Chicken,The Barbecue Chicken Pizza
216,1,2015,Jan,Fri,15:17:00, 20.75 , 20.75 ,L,Supreme,The Italian Supreme Pizza
217,1,2015,Jan,Fri,15:17:00, 16.50 , 16.50 ,M,Supreme,The Italian Supreme Pizza
218,1,2015,Jan,Fri,15:17:00, 12.75 , 12.75 ,S,Veggie,The Italian Vegetables Pizza
219,1,2015,Jan,Fri,15:17:00, 12.50 , 12.50 ,M,Classic,The Pepperoni Pizza
220,1,2015,Jan,Fri,15:17:00, 16.50 , 16.50 ,M,Supreme,The Pepper Salami Pizza
221,1,2015,Jan,Fri,15:17:00, 12.00 , 12.00 ,S,Veggie,The Spinach and Feta Pizza
222,1,2015,Jan,Fri,15:17:00, 12.50 , 12.50 ,S,Supreme,The Spinach Supreme Pizza
223,2,2015,Jan,Fri,15:17:00, 16.00 , 32.00 ,M,Classic,The Greek Pizza
224,1,2015,Jan,Fri,15:29:00, 16.25 , 16.25 ,M,Supreme,The Sicilian Pizza
225,1,2015,Jan,Fri,16:17:00, 16.00 , 16.00 ,M,Classic,The Italian Capocollo Pizza
226,1,2015,Jan,Fri,16:17:00, 12.75 , 12.75 ,S,Chicken,The Southwest Chicken Pizza
227,1,2015,Jan,Fri,16:18:00, 12.00 , 12.00 ,S,Classic,The Napolitana Pizza
228,1,2015,Jan,Fri,16:18:00, 20.75 , 20.75 ,L,Supreme,The Pepper Salami Pizza
229,1,2015,Jan,Fri,16:21:00, 12.00 , 12.00 ,S,Classic,The Napolitana Pizza
230,1,2015,Jan,Fri,16:45:00, 12.00 , 12.00 ,S,Classic,The Big Meat Pizza
231,1,2015,Jan,Fri,17:18:00, 20.50 , 20.50 ,L,Classic,The Classic Deluxe Pizza
232,1,2015,Jan,Fri,17:18:00, 20.50 , 20.50 ,L,Classic,The Napolitana Pizza
233,1,2015,Jan,Fri,17:45:00, 20.75 , 20.75 ,L,Supreme,The Italian Supreme Pizza
234,1,2015,Jan,Fri,17:46:00, 16.50 , 16.50 ,L,Classic,The Hawaiian Pizza
235,1,2015,Jan,Fri,17:51:00, 20.75 , 20.75 ,L,Chicken,The California Chicken Pizza
236,1,2015,Jan,Fri,17:51:00, 15.25 , 15.25 ,L,Classic,The Pepperoni Pizza
237,1,2015,Jan,Fri,17:51:00, 20.75 , 20.75 ,L,Supreme,The Soppressata Pizza
238,1,2015,Jan,Fri,17:51:00, 16.50 , 16.50 ,M,Supreme,The Spicy Italian Pizza
239,1,2015,Jan,Fri,17:54:00, 12.75 , 12.75 ,S,Chicken,The Barbecue Chicken Pizza
240,1,2015,Jan,Fri,17:54:00, 12.50 , 12.50 ,S,Supreme,The Prosciutto and Arugula Pizza
241,1,2015,Jan,Fri,18:02:00, 12.50 , 12.50 ,S,Supreme,The Spinach Supreme Pizza
242,1,2015,Jan,Fri,18:02:00, 16.75 , 16.75 ,M,Chicken,The Barbecue Chicken Pizza
243,1,2015,Jan,Fri,18:02:00, 16.75 , 16.75 ,M,Chicken,The Chicken Alfredo Pizza
244,1,2015,Jan,Fri,18:02:00, 16.75 , 16.75 ,M,Veggie,The Italian Vegetables Pizza
245,1,2015,Jan,Fri,18:02:00, 20.25 , 20.25 ,L,Veggie,The Vegetables + Vegetables Pizza
246,2,2015,Jan,Fri,18:12:00, 10.50 , 21.00 ,S,Classic,The Hawaiian Pizza
247,1,2015,Jan,Fri,18:12:00, 15.25 , 15.25 ,L,Classic,The Pepperoni Pizza
248,1,2015,Jan,Fri,18:12:00, 16.50 , 16.50 ,M,Supreme,The Prosciutto and Arugula Pizza
249,1,2015,Jan,Fri,18:12:00, 20.25 , 20.25 ,L,Veggie,The Mexicana Pizza
250,1,2015,Jan,Fri,18:12:00, 20.75 , 20.75 ,L,Supreme,The Spicy Italian Pizza
251,1,2015,Jan,Fri,18:25:00, 20.75 , 20.75 ,L,Chicken,The California Chicken Pizza
252,1,2015,Jan,Fri,18:25:00, 16.50 , 16.50 ,M,Supreme,The Italian Supreme Pizza
253,1,2015,Jan,Fri,18:25:00, 20.75 , 20.75 ,L,Supreme,The Spicy Italian Pizza
254,1,2015,Jan,Fri,18:25:00, 20.25 , 20.25 ,L,Veggie,The Vegetables + Vegetables Pizza
255,1,2015,Jan,Fri,18:25:00, 20.50 , 20.50 ,L,Classic,The Classic Deluxe Pizza
256,1,2015,Jan,Fri,18:25:00, 16.50 , 16.50 ,L,Classic,The Hawaiian Pizza
